entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
AFR,Afrika,region,2012-W01,burned_area_km2,5619.55,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W02,burned_area_km2,5721.13,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W03,burned_area_km2,31576.4,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W04,burned_area_km2,67527.61,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W05,burned_area_km2,56622.56,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W06,burned_area_km2,48540.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W07,burned_area_km2,27781.26,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W08,burned_area_km2,23305.12,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W09,burned_area_km2,21193.06,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W10,burned_area_km2,21202.04,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W11,burned_area_km2,32802.9,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W12,burned_area_km2,20580.49,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W13,burned_area_km2,14871.56,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
