entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes,n_series
WLD,Verden,world,-6050,charcoal_index,-0.2341,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,137
WLD,Verden,world,-6030,charcoal_index,-0.2237,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,119
WLD,Verden,world,-6010,charcoal_index,-0.2134,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,140
WLD,Verden,world,-5990,charcoal_index,-0.2034,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,110
WLD,Verden,world,-5970,charcoal_index,-0.1937,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,135
WLD,Verden,world,-5950,charcoal_index,-0.1845,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,127
WLD,Verden,world,-5930,charcoal_index,-0.1759,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,135
WLD,Verden,world,-5910,charcoal_index,-0.1679,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,126
WLD,Verden,world,-5890,charcoal_index,-0.1606,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,122
WLD,Verden,world,-5870,charcoal_index,-0.1542,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,137
WLD,Verden,world,-5850,charcoal_index,-0.1488,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,134
WLD,Verden,world,-5830,charcoal_index,-0.1444,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,124
WLD,Verden,world,-5810,charcoal_index,-0.1412,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,136
WLD,Verden,world,-5790,charcoal_index,-0.139,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,121
WLD,Verden,world,-5770,charcoal_index,-0.1371,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,131
WLD,Verden,world,-5750,charcoal_index,-0.1351,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,126
WLD,Verden,world,-5730,charcoal_index,-0.1332,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,135
WLD,Verden,world,-5710,charcoal_index,-0.1314,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,128
WLD,Verden,world,-5690,charcoal_index,-0.1298,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,142
WLD,Verden,world,-5670,charcoal_index,-0.1283,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,130
WLD,Verden,world,-5650,charcoal_index,-0.1272,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,145
WLD,Verden,world,-5630,charcoal_index,-0.1263,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,132
WLD,Verden,world,-5610,charcoal_index,-0.1259,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,139
WLD,Verden,world,-5590,charcoal_index,-0.1259,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,143
WLD,Verden,world,-5570,charcoal_index,-0.1263,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,137
WLD,Verden,world,-5550,charcoal_index,-0.1274,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,145
WLD,Verden,world,-5530,charcoal_index,-0.129,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,136
WLD,Verden,world,-5510,charcoal_index,-0.1311,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,144
WLD,Verden,world,-5490,charcoal_index,-0.1337,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,144
WLD,Verden,world,-5470,charcoal_index,-0.1368,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,144
WLD,Verden,world,-5450,charcoal_index,-0.1402,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,156
WLD,Verden,world,-5430,charcoal_index,-0.1439,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,141
WLD,Verden,world,-5410,charcoal_index,-0.1479,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,141
WLD,Verden,world,-5390,charcoal_index,-0.1521,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,131
WLD,Verden,world,-5370,charcoal_index,-0.1563,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,143
WLD,Verden,world,-5350,charcoal_index,-0.1607,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,145
WLD,Verden,world,-5330,charcoal_index,-0.1651,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,156
WLD,Verden,world,-5310,charcoal_index,-0.1694,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,144
WLD,Verden,world,-5290,charcoal_index,-0.1737,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,143
WLD,Verden,world,-5270,charcoal_index,-0.1774,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,151
WLD,Verden,world,-5250,charcoal_index,-0.1805,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,146
WLD,Verden,world,-5230,charcoal_index,-0.1831,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,146
WLD,Verden,world,-5210,charcoal_index,-0.1853,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,151
WLD,Verden,world,-5190,charcoal_index,-0.187,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,158
WLD,Verden,world,-5170,charcoal_index,-0.1884,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,150
WLD,Verden,world,-5150,charcoal_index,-0.1894,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,152
WLD,Verden,world,-5130,charcoal_index,-0.1903,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,149
WLD,Verden,world,-5110,charcoal_index,-0.191,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,162
WLD,Verden,world,-5090,charcoal_index,-0.1916,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,144
WLD,Verden,world,-5070,charcoal_index,-0.1922,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,150
WLD,Verden,world,-5050,charcoal_index,-0.1928,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,153
WLD,Verden,world,-5030,charcoal_index,-0.1935,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,140
WLD,Verden,world,-5010,charcoal_index,-0.1944,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,142
WLD,Verden,world,-4990,charcoal_index,-0.1953,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy;f_smoothed,152
