entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
CAN,Canada,country,1959,fire_count,1632,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1960,fire_count,2856,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1961,fire_count,4219,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1962,fire_count,1957,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1963,fire_count,3047,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1964,fire_count,1712,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1965,fire_count,3177,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1966,fire_count,2718,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1967,fire_count,4421,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1968,fire_count,2767,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1969,fire_count,3550,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1970,fire_count,5540,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1971,fire_count,4865,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1972,fire_count,4875,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1973,fire_count,5154,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1974,fire_count,5021,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1975,fire_count,6339,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1976,fire_count,8286,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1977,fire_count,7057,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1978,fire_count,5778,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1979,fire_count,8296,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1980,fire_count,7483,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1981,fire_count,9242,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1982,fire_count,7748,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1983,fire_count,7978,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1984,fire_count,8484,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1985,fire_count,7760,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1986,fire_count,6091,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1987,fire_count,10465,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1988,fire_count,10168,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1989,fire_count,12015,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1990,fire_count,9974,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1991,fire_count,10183,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1992,fire_count,8967,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1993,fire_count,5949,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1994,fire_count,9663,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1995,fire_count,8463,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1996,fire_count,6406,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1997,fire_count,6064,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1998,fire_count,10766,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,1999,fire_count,7598,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2000,fire_count,5403,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2001,fire_count,7732,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2002,fire_count,7849,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2003,fire_count,8257,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2004,fire_count,6470,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2005,fire_count,7442,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2006,fire_count,9719,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2007,fire_count,6911,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2008,fire_count,6235,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2009,fire_count,7138,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2010,fire_count,7315,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2011,fire_count,4675,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2012,fire_count,7911,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2013,fire_count,6246,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2014,fire_count,5016,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2015,fire_count,7029,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2016,fire_count,5259,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2017,fire_count,5654,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2018,fire_count,7111,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2019,fire_count,4062,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2020,fire_count,4014,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2021,fire_count,6710,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2022,fire_count,5658,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2023,fire_count,6837,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2024,fire_count,5844,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
CAN,Canada,country,2025,fire_count,6199,count,K7,cnfdb_annual_fire_count,reported,f_reporting_basis;f_incomplete_inventory
USA,USA,country,1983,fire_count,18229,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1984,fire_count,20493,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1985,fire_count,82591,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1986,fire_count,85907,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1987,fire_count,71300,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1988,fire_count,72750,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1989,fire_count,48949,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1990,fire_count,66481,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1991,fire_count,75754,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1992,fire_count,87394,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1993,fire_count,58810,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1994,fire_count,79107,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1995,fire_count,82234,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1996,fire_count,96363,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1997,fire_count,66196,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1998,fire_count,81043,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,1999,fire_count,92487,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2000,fire_count,92250,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2001,fire_count,84079,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2002,fire_count,73457,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2003,fire_count,63629,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2004,fire_count,65461,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start;f_incomplete_inventory
USA,USA,country,2005,fire_count,66753,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2006,fire_count,96385,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2007,fire_count,85705,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2008,fire_count,78979,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2009,fire_count,78792,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2010,fire_count,71971,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2011,fire_count,74126,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2012,fire_count,67774,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2013,fire_count,47579,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2014,fire_count,63312,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2015,fire_count,68151,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2016,fire_count,67743,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2017,fire_count,71499,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2018,fire_count,58083,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2019,fire_count,50477,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2020,fire_count,58950,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2021,fire_count,58985,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2022,fire_count,68988,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2023,fire_count,56580,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2024,fire_count,64897,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
USA,USA,country,2025,fire_count,77850,count,K5,nifc_annual_fire_count,reported,f_reporting_basis;f_record_start
